NTN,NAME,S.T.Reg. No,Address,Customer_Receipt_NO,Customer_NTN,Customer_NAME,Customer_S.T.Reg. No,Customer_Phone Number,Customer_Address,Business Name,Product 1,Product 2,Product 3,Product 4,Date,Quantity_Product_1,Quantity_Product_2,Quantity_Product_3,Quantity_Product_4,Rate_Product_1,Rate_Product_2,Rate_Product_3,Rate_Product_4,Tax_Product_1,Tax_Product_2,Tax_Product_3,Tax_Product_4,Product_1_Price_with_Tax,Product_2_Price_with_Tax,Product_3_Price_with_Tax,Product_4_Price_with_Tax,Amount Excluding Taxes_Product_1,Sales Tax @ 18%_Product_1,Amount Including Taxes_Product_1,Amount Excluding Taxes_Product_2,Sales Tax @ 18%_Product_2,Amount Including Taxes_Product_2,Amount Excluding Taxes_Product_3,Sales Tax @ 18%_Product_3,Amount Including Taxes_Product_3,Amount Excluding Taxes_Product_4,Sales Tax @ 18%_Product_4,Amount Including Taxes_Product_4,Total Amount Excluding Taxes,Total Sales Tax @ 18%,Total Amount Including Taxes
4.23011E+12,MEHRUN NISA,10000-77-8761-10382-23,A-46 Ghazi Chourangi,1098614,0000165-1,muhammad ahmed nadeem,42-77-8761-413-23,3007145237,Plot Sub-9 Sector 27,"1 SANGHLA MOTORS,2 AHMAD TRADERS",Auto Fusion Drive,Motor Spark Pro,Tune & Thrive Engines,Gear Shift Genius,15-10-2019,33,10,2,91,68,26,21,56,0.081404312,0.124654723,0.110785673,0.052922555,74,29,23,59,2244,403.92,2647.92,260,46.8,306.8,42,7.56,49.56,5096,917.28,6013.28,7642,1375.56,9017.56
4.23014E+12,ASIF MERCHANT,10000-77-8761-413-23,Address : House 13-D,1102089,0000168-6,NUMAN HURMAT,43-77-8761-413-23,3036661815,Plot 25/1 Sector 23.,"1 SHAHEEN KHAD AGENCY,2 HURMAT ALI KHAD DEALER",SilkPrint Agency,SpeedBind Solutions,Elite Copycraft Hub,SwiftKraft Deals & Docs,10-10-2023,25,86,52,77,45,24,38,91,0.106625805,0.070209978,0.156423415,0.19024471,50,26,44,108,1125,202.5,1327.5,2064,371.52,2435.52,1976,355.68,2331.68,7007,1261.26,8268.26,12172,2190.96,14362.96
3.66034E+12,FAYYAZ AHMAD S/O KARAM KHAN,10000-77-8761-413-23,Apt-906 Rehman Tower,1098367,0000169-4,MOHSIN ABBAS,44-77-8761-413-23,3041920704,118. Gulshan-E-Iqbal,"1 TCS Franchise,2 Allied Traders",TradeSync Pro,Allied Insights,PrintPact Fusion,CopyCraft Elite,07-07-2019,30,40,32,45,79,22,21,61,0.101975687,0.1587374,0.144499674,0.150929094,87,25,24,70,2370,426.6,2796.6,880,158.4,1038.4,672,120.96,792.96,2745,494.1,3239.1,6667,1200.06,7867.06
4.21018E+12,NOOR ALI,10000-77-8761-413-23,B-34 Gulshan-E-Lqbal,957092,0000172-4,SHAHZAD QAMAR,45-77-8761-413-23,3139413513,R-109 Sunley Banglow,"1,DAIRY FORM",Milk Blend,Creamy Formats,Dairy Essentials,Fresh Formulas,08-06-2023,6,59,82,52,57,59,59,39,0.191883099,0.066511488,0.064014769,0.158438039,68,63,63,45,342,61.56,403.56,3481,626.58,4107.58,4838,870.84,5708.84,2028,365.04,2393.04,10689,1924.02,12613.02
4.22011E+12,AFZAL AHMED RAJPUT,10000-77-8761-413-23,Bank Alfalah Limited,986251,0000177-5,muhammad nabeel,46-77-8761-413-23,3212308603,H R-70 Society Sindh,101 CHOICE,Choice Essentials,OptCore Design,Simplify Solutions,ChoiceCore Files,20-01-2021,11,15,19,52,80,46,72,63,0.120513498,0.087384041,0.053469869,0.13929225,90,50,76,72,880,158.4,1038.4,690,124.2,814.2,1368,246.24,1614.24,3276,589.68,3865.68,6214,1118.52,7332.52
4.23014E+12,AMIN UDDIN,10000-77-8761-413-9992,C 210 Fedral B. Area,1050119,0000182-1,MUHAMMAD REHAN ASLAM,47-77-8761-413-23,3215396330,H 410 Area 5/A Sindh,"10Sol Solutions,HARDIANS",SolarSync Gear,HardTech Blueprint,SolForce Tech,HARDIAN Boost,19-09-2018,60,19,12,34,88,16,67,74,0.147583548,0.129538054,0.050199316,0.131609976,101,18,70,84,5280,950.4,6230.4,304,54.72,358.72,804,144.72,948.72,2516,452.88,2968.88,8904,1602.72,10506.72
4.22017E+12,KHURRAM SIDDIQI,10000-77-8761-413-9992,C-231 Block-3 Kaechs,1120002,0000183-0,MAZHAR SIRAJ,48-77-8761-413-23,3217238116,H 361 I Area 5 Sindh,"11 TRADERS,11 Traders",Trade Insights Hub,Market Pulse Pro,Trader Analytics,TradeFlow Solutions,18-06-2019,45,34,58,28,45,21,60,29,0.125507686,0.156905824,0.199103156,0.127592405,51,24,72,33,2025,364.5,2389.5,714,128.52,842.52,3480,626.4,4106.4,812,146.16,958.16,7031,1265.58,8296.58
4.2102E+12,MOHAMMAD SHAMIM,10000-77-8761-413-9992,Company Limited 89-A,904829,0000189-9,NOMAN MUKHTAR,49-77-8761-413-23,3217238116,H 404 Sector C Sindh,110 Garments,Thread Threads,Stitch Style,Fabric Fusion,Thread Tales,06-05-2021,88,76,72,69,12,88,89,81,0.152321358,0.1554951,0.150396949,0.085965315,14,102,102,88,1056,190.08,1246.08,6688,1203.84,7891.84,6408,1153.44,7561.44,5589,1006.02,6595.02,19741,3553.38,23294.38
3.73012E+12,USMAN SHAHID,1000-1046-8761-13604-23,H 3/7 Area 1-C Sindh,875173,0000195-3,MESUM ABBAS,50-77-8761-413-23,3218009090,H 3/7 Area 1-C Sindh,110 Mobile Shop,Swift Fixz,Mobile Miracles,Quick Fix Kits,Mobile Mastery,21-10-2021,39,42,35,62,51,18,88,93,0.134741321,0.137186409,0.167571883,0.08131474,58,20,103,101,1989,358.02,2347.02,756,136.08,892.08,3080,554.4,3634.4,5766,1037.88,6803.88,11591,2086.38,13677.38
4.21019E+12,MUHAMMAD FARHAN SIDDIQUI,1000-1046-8761-13604-23,H 361 I Area 5 Sindh,1091060,0000199-6,MAHMOOD SALEEM,51-77-8761-413-23,3218009090,Opp National Stadium,110 TRADERS,Trade Hub Pro,Swift Bytes,Ledger Shift,Market Pulse,06-10-2021,17,31,73,15,26,58,29,40,0.071749429,0.152986746,0.151298588,0.123944172,28,67,33,45,442,79.56,521.56,1798,323.64,2121.64,2117,381.06,2498.06,600,108,708,4957,892.26,5849.26
4.23011E+12,SHAHID IQBAL,1000-1046-8761-13604-23,H 404 Sector C Sindh,1012008,0000209-7,SUMMARA YAQOOB,52-77-8761-413-23,3218009090,L-17 Gulshan-E-Iqbal,"1214 SKR LIVESTOCK FARMS,1472 HH TRADING COMPANY",FeedMaster Pro,StableStock Solutions,HH Livestock Hub,AgriTrade Hub,14-01-2022,31,4,56,29,45,100,42,23,0.105122875,0.136018605,0.061974295,0.051522502,50,114,45,24,1395,251.1,1646.1,400,72,472,2352,423.36,2775.36,667,120.06,787.06,4814,866.52,5680.52
3.7405E+12,SAEED AKHTAR SUBHANI,1000-1046-8761-413-13214,H 410 Area 5/A Sindh,1154853,0000215-1,ZAHIDA CH,53-77-8761-413-23,3218554982,V-9/1 16-East Street,127 B PEEPLES COLONY 1 FAISALABAD,Clayworks Studio,Papyrus Press,LeafBind Co.,InkCanvas Artisans,08-04-2019,73,61,29,76,44,53,26,82,0.101070582,0.106435074,0.129868546,0.108087487,48,59,29,91,3212,578.16,3790.16,3233,581.94,3814.94,754,135.72,889.72,6232,1121.76,7353.76,13431,2417.58,15848.58
4.22016E+12,SOBIA TARIQ,1000-1046-8761-413-13214,H 449 P. I. B Colony,1138952,0000219-4,MUHAMMAD MOHSIN,54-77-8761-413-23,3233115377,46-E/3 P. E. C. H. S,1327 GARMENTS,Threads & Tales,Stitch Stories,Fabric Narratives,Cloth Chronicles,25-08-2023,44,21,67,76,76,51,89,75,0.097314244,0.166774673,0.108963594,0.053065435,83,60,99,79,3344,601.92,3945.92,1071,192.78,1263.78,5963,1073.34,7036.34,5700,1026,6726,16078,2894.04,18972.04
4.22014E+12,NOMAN NAFEES,1000-1046-8761-413-13214,H 496 Gulshan-E-Ravi,1023416,0000289-5,GHULAM HAIDER,55-77-8761-413-23,3312485350,S-1 Fariq Street Ext,1472 HH TRADING COMPANY,Gear Essentials,HH Supply Hub,Trade Pro Tools,HH Market Vault,27-10-2021,72,27,38,75,72,12,71,51,0.148391971,0.094464218,0.082481575,0.09443627,83,13,77,56,5184,933.12,6117.12,324,58.32,382.32,2698,485.64,3183.64,3825,688.5,4513.5,12031,2165.58,14196.58
4.2202E+12,SUMAIRA NOMAN,1000-1046-8761-413-23,H R-70 Society Sindh,1078996,0000292-5,AZHAN ALI,56-77-8761-413-23,3312485632,H 449 P. I. B Colony,"18 GEN,God Father Father of All Burger ,God Father Father of All Burger",Genesis Grilled,Father's Feast,Divine Slawls,Uber Burgers,01-10-2018,41,14,13,58,52,70,99,89,0.183116766,0.152478276,0.140876232,0.170756981,62,81,113,104,2132,383.76,2515.76,980,176.4,1156.4,1287,231.66,1518.66,5162,929.16,6091.16,9561,1720.98,11281.98
4.22015E+12,JASIM SALEEM ANJUM,1000-1046-8761-413-23,H. D-57 Barwery Road,1030447,0000297-6,BILAL OMER,57-77-8761-413-23,3312485716,House 296 15 Street-,"1800 TEXTILES,COTTEX INTERNATIONAL,RELIANCE FIBRES CORPORATION",ThreadSync Solutions,FiberForge Tech,TextileVault Designs,EcoThread Innovations,15-10-2019,55,53,46,43,54,22,66,22,0.1466478,0.060626401,0.079890519,0.19011419,62,23,71,26,2970,534.6,3504.6,1166,209.88,1375.88,3036,546.48,3582.48,946,170.28,1116.28,8118,1461.24,9579.24
3.66012E+12,ABDUL GHANI,1000-1046-8761-413-23,H-3/3 Sector-5 75400,1095789,0000298-4,SHEHZAD MAQSOOD,58-77-8761-413-23,3312485913,House 87 Sector 36-A,189 NET WORK,Insight Core,Quantum Edge,Sync Nexus,Mind Forge,20-07-2018,33,23,99,73,67,83,43,14,0.078761688,0.101180717,0.095717759,0.17176068,72,91,47,16,2211,397.98,2608.98,1909,343.62,2252.62,4257,766.26,5023.26,1022,183.96,1205.96,9399,1691.82,11090.82
3.7405E+12,shoaib rasheed,1000-1046-8761-413-23,House 296 15 Street-,1001587,0000300-0,NOREEN SHAKEEL,59-77-8761-413-23,3330311460,Rayden College 174-M,1st LOOK BOUTIQUE,Sparkle Frames,Chic Frames,Timeless Looks,Glossy Prints,27-01-2018,38,6,54,62,79,81,69,28,0.160459578,0.069754735,0.166007285,0.076931559,92,87,80,30,3002,540.36,3542.36,486,87.48,573.48,3726,670.68,4396.68,1736,312.48,2048.48,8950,1611,10561
3.65021E+12,NADIRA PARACHA,10001-10047-8761-413-23,House 87 Sector 36-A,973918,0000305-7,NAIMAT ALI,60-77-8761-413-23,3330311941,B-34 Gulshan-E-Lqbal,2 B COMMUNICATION SOLUTION,EchoNet Pro,RelayNet Hub,SyncVoice Connect,PulseComm Bridge,02-01-2022,52,66,50,4,42,58,55,41,0.051906475,0.088954684,0.106937796,0.096414141,44,63,61,45,2184,393.12,2577.12,3828,689.04,4517.04,2750,495,3245,164,29.52,193.52,8926,1606.68,10532.68
4.23011E+12,KASHIF ABBAS,10001-10047-8761-413-23,House No5 Area 1-C-1,1008368,0000307-7,MUHAMMAD AZAM,61-77-8761-413-23,3331413209,A-46 Ghazi Chourangi,2 B CONSULTANTS,Insight Spark,Vision Fusion,Growth Alchemy,Expert Pulse,08-10-2021,8,57,55,2,22,49,79,68,0.087396457,0.077152058,0.056816672,0.085606561,24,53,83,74,176,31.68,207.68,2793,502.74,3295.74,4345,782.1,5127.1,136,24.48,160.48,7450,1341,8791
3.6503E+12,ZEESHAN UMER,10001-10047-8761-413-23,I. I Chundrigar Road,1124714,0000308-5,RAZA HUSAIN,62-77-8761-413-23,3334075050,House No5 Area 1-C-1,2 Bhai Karyan Store,Karyan Keys,BhaiScript,PrintPals Bundle,KaryanFold,16-09-2019,90,24,27,19,99,33,49,24,0.119232673,0.151926299,0.183454093,0.145757673,111,38,58,27,8910,1603.8,10513.8,792,142.56,934.56,1323,238.14,1561.14,456,82.08,538.08,11481,2066.58,13547.58
3.71017E+12,Fawad Ahmad,10001-10047-8761-413-23,Khe-Bana-Tanzeem Dhs,828953,0000310-7,RAFAQAT ALI,63-77-8761-413-23,3335595945,H. D-57 Barwery Road,2 BHAI SWEET,Sweet Fusion,Bhaisara Treats,Honey Harmony,Sweet Symphony,24-05-2022,90,11,73,92,32,25,74,85,0.134690314,0.149482158,0.137587762,0.111720938,36,29,84,94,2880,518.4,3398.4,275,49.5,324.5,5402,972.36,6374.36,7820,1407.6,9227.6,16377,2947.86,19324.86
4.22011E+12,MUHAMMAD ZAHID,1000-13268-8761-413-23,L-17 Gulshan-E-Iqbal,853984,0000311-5,JAVEED ABBAS,64-77-8761-413-23,3335829062,Mohammad Danish 9/37,2 Brothers Composing Center,ScriptScribe Pens,InkSync Pods,NoteWave Keys,EchoNote Palettes,30-05-2023,62,6,41,10,97,77,55,86,0.192159025,0.159203749,0.121586322,0.117328856,116,89,62,96,6014,1082.52,7096.52,462,83.16,545.16,2255,405.9,2660.9,860,154.8,1014.8,9591,1726.38,11317.38
4.23011E+12,NAZISH CHAUDRY,1000-13268-8761-413-23,Mohammad Danish 9/37,896827,0000321-2,MUHAMMAD BABR NASEER,65-77-8761-413-23,3337501235,26-B 4th East Street,2 Brothers Mobile and Customer Care,Mobile Solutions Hub,CareConnect Touchpoints,SwiftFix Mobile Tech,CustomerCraft Support,07-05-2021,38,66,49,9,93,24,26,60,0.1198308,0.149740612,0.099792119,0.142810229,104,28,29,69,3534,636.12,4170.12,1584,285.12,1869.12,1274,229.32,1503.32,540,97.2,637.2,6932,1247.76,8179.76
4.22013E+12,RIAZ MUHAMMAD,1000-13268-8761-413-23,Opp National Stadium,1107760,0000327-1,MUHAMMAD MOHSIN,66-77-8761-413-23,3338519134,Khe-Bana-Tanzeem Dhs,2 BROTHERS TEXTILES,Thread Tales,Stitch Stories,Fabric Forts,Print Parade,03-04-2022,41,56,36,44,42,47,43,47,0.187445657,0.086827419,0.127023514,0.081544467,50,51,48,51,1722,309.96,2031.96,2632,473.76,3105.76,1548,278.64,1826.64,2068,372.24,2440.24,7970,1434.6,9404.6
4.22017E+12,MUHAMMAD ZUHAIB,1000-13268-8761-413-23,Opp. Kot Kashmi (Al),1128202,0000333-6,Muhammad Duruksh Dar,67-77-8761-413-23,3338662689,Shelkh Market 1-10/1,2 D STYLE,Canvas Edit Pro,Pixel Pouch,Graphic Gestures,Vinyl Stitch Care,06-07-2018,84,10,44,60,43,79,89,41,0.07195257,0.185108696,0.053302586,0.17590122,46,94,94,48,3612,650.16,4262.16,790,142.2,932.2,3916,704.88,4620.88,2460,442.8,2902.8,10778,1940.04,12718.04
4.22011E+12,MUHAMMAD ANAS NADEEM,10001-77-18731-413-23,Plot 25/1 Sector 23.,965073,0000341-7,MUHAMMAD MAJID,68-77-8761-413-23,3338710588,040-Tando Allah Main,2 GOOD GROUP,EcoInk Solutions,BrightWrite Pens,LuxePrint Albums,SmartSync Papers,22-09-2019,73,8,86,95,46,59,63,37,0.062798646,0.196396607,0.169322628,0.058106773,49,71,74,39,3358,604.44,3962.44,472,84.96,556.96,5418,975.24,6393.24,3515,632.7,4147.7,12763,2297.34,15060.34
4.22013E+12,SAJID HASAN,10001-77-18731-413-23,Plot Sub-9 Sector 27,1076947,0000345-0,SAJAD HAIDER,69-77-8761-413-23,3362631415,Shakeel Mubarak 66-C,2 INNOVATIVE,SwiftSync Hub,CoilWave Connectors,Quantum Pulse Tech,SparkCode Pro,16-05-2022,9,61,44,9,89,55,28,11,0.180980028,0.141205169,0.131084353,0.173208814,105,63,32,13,801,144.18,945.18,3355,603.9,3958.9,1232,221.76,1453.76,99,17.82,116.82,5487,987.66,6474.66
3.65023E+12,SHOAIB AHMAD KHAN,10001-77-18731-413-23,R-109 Sunley Banglow,1192816,0000348-4,RASHID ALI,70-77-8761-413-23,3362631665,Company Limited 89-A,2 STAR TRADERS,Silk Market Runs,Gold Trade Signals,Star Futures Chart,Bronze Stock Swaps,03-10-2021,65,88,40,27,45,98,96,92,0.189778676,0.112726748,0.179374292,0.173911391,54,109,113,108,2925,526.5,3451.5,8624,1552.32,10176.32,3840,691.2,4531.2,2484,447.12,2931.12,17873,3217.14,21090.14
4.23011E+12,JIBRAN KHAN,10001-77-18731-413-23,Rayden College 174-M,1015187,0000352-2,NADEEM HUSSAIN,71-77-8761-413-23,3425976131,712 I. S. E Tower 55,20 20 SALE MELA,MelaPrint,QuickSnap Deals,TimeBound Pages,FlashSale Binds,10-11-2021,97,63,77,70,75,11,98,94,0.073730692,0.134337607,0.12513849,0.111918864,81,12,110,105,7275,1309.5,8584.5,693,124.74,817.74,7546,1358.28,8904.28,6580,1184.4,7764.4,22094,3976.92,26070.92
4.22015E+12,HASSAM AHMED KAMAL PASHA,10001-77-8761-10383-23,S-1 Fariq Street Ext,899176,0000354-9,ANSER ALI,72-77-8761-413-23,3427457827,131-West Wood Colony,202 MOBILES,SwiftLocks,GearShift Pro,MobileMates Hub,QuickConnect Gear,18-02-2020,47,84,30,28,24,22,10,73,0.083129236,0.131941718,0.155178641,0.110533281,26,25,12,81,1128,203.04,1331.04,1848,332.64,2180.64,300,54,354,2044,367.92,2411.92,5320,957.6,6277.6
4.2201E+12,MUHAMMAD AHSAN SAEED,10001-77-8761-10383-23,Shakeel Mubarak 66-C,1178330,0009766-7,MUHAMMAD UMAIR ALI,73-77-8761-413-23,3432070901,Address : House 13-D,"22 BROADCASTING ONLINE PVT LTD,AFZAL DYEING",Broadcast Blitz Pro,Live Stream Zen,ColorCast Fresh,Broadcast Pulse,12-07-2023,76,32,13,77,33,65,89,39,0.140546677,0.06285523,0.091250202,0.059461461,38,69,97,41,2508,451.44,2959.44,2080,374.4,2454.4,1157,208.26,1365.26,3003,540.54,3543.54,8748,1574.64,10322.64
4.23014E+12,MOHAMMAD ASHRAF RAO,10001-77-8761-10383-23,Shelkh Market 1-10/1,982299,0009767-5,MUHAMMAD AFZAL,74-77-8761-413-23,3455703494,H 496 Gulshan-E-Ravi,"22 KARAT GOLD POINT,GOLD BANK BY 22 KARAT",GoldReflect Vaults,Platinum Prestige Coins,GoldThread Jewelry,GoldCanvas Art Kits,22-02-2019,39,56,32,83,63,57,31,62,0.137048959,0.092380902,0.132744451,0.13026564,72,62,35,70,2457,442.26,2899.26,3192,574.56,3766.56,992,178.56,1170.56,5146,926.28,6072.28,11787,2121.66,13908.66
4.22014E+12,TARIQ AHMED QURESHI,10001-77-8761-413-23,V-9/1 16-East Street,987953,0009769-1,ASIF AZIZ,75-77-8761-413-23,3468221382,C 210 Fedral B. Area,"22 STEEL HOUSE,MILERGO PAKISTAN,MILERGO PAKISTAN LIMITED",SteelSync Docs,PakGuard Files,SteelBound Papers,Milestone Reports,13-10-2020,58,51,67,18,54,79,76,72,0.061827268,0.09064607,0.122850247,0.110763302,57,86,85,80,3132,563.76,3695.76,4029,725.22,4754.22,5092,916.56,6008.56,1296,233.28,1529.28,13549,2438.82,15987.82
4.22015E+12,SHAKEEL AHMAD KHAN,10001-77-8761-413-23,Wala Colony House 34,1065420,0009777-2,SHEIKH MUHAMMAD FAZAL RAHIM,76-77-8761-413-23,9.23E+11,Bank Alfalah Limited,"22G Mobiles, Computers Tuck Shop",SwiftFix Tech,PowerUp Pods,ProCraft Pockets,PixelPouch Pro,23-10-2019,15,54,84,27,36,89,94,12,0.08016755,0.189133263,0.127111728,0.066985152,39,106,106,13,540,97.2,637.2,4806,865.08,5671.08,7896,1421.28,9317.28,324,58.32,382.32,13566,2441.88,16007.88
4.22014E+12,HIDAYAT RASOOL QADRI,10001-77-8761-413-23,Wapda House The Mall,1148950,0009780-2,ABDUL SABOOR,77-77-8761-413-23,9.23E+11,Wapda House The Mall,24 CONSTRUCTION AND HANDYMAN SERVICES,Forge Tools,Swift Fix Up,Build Basics,Rapid Repair Kit,25-12-2021,53,83,35,76,12,72,84,33,0.174665855,0.074060481,0.157737495,0.181698804,14,77,97,39,636,114.48,750.48,5976,1075.68,7051.68,2940,529.2,3469.2,2508,451.44,2959.44,12060,2170.8,14230.8
4.22013E+12,JALAL AKBAR,10001-77-8761-413-23,101 Beaumont Plaza 10,1053511,0009783-7,MUHAMMAD WASEEM ANJUM,78-77-8761-413-23,9.23E+11,House 18/484 Taj Pura,24 SEVEN GO MART,Midnight Dispatch,Swift Delivery,Everflow Mail,Clockwork Package,13-09-2021,78,65,38,5,43,11,47,85,0.171670683,0.199839364,0.063867157,0.071182335,50,13,50,91,3354,603.72,3957.72,715,128.7,843.7,1786,321.48,2107.48,425,76.5,501.5,6280,1130.4,7410.4
4.22012E+12,JAMAL JAFFER ALI MOORANI,10001-77-8761-413-9993,1047-A P. I. B Colony,1017338,0009787-0,ANEEZA SHAFQUAT,79-77-8761-413-23,9.23E+11,208-A 32nd Street.Te1,24 SIGNALS,Signal Sync,Pixel Pulse,Code Connect,Echo Master,06-02-2021,17,37,33,30,45,24,94,73,0.056426534,0.169661798,0.148548724,0.137101611,48,28,108,83,765,137.7,902.7,888,159.84,1047.84,3102,558.36,3660.36,2190,394.2,2584.2,6945,1250.1,8195.1
